"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Belarus","BLR","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.85","12.33","11.96","11.5","10.66","9.74","9.42","8.5","7.72","7.29","7.01","7.06","7.24","6.39","6.4","6.07","6.18","6.14","6.29","5.97","5.83","","","",
"Belize","BLZ","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.82","6.84","6.39","5.72","5.45","5.25","5.51","5.43","4.96","5.38","5.49","6.38","5.52","5.11","4.95","5.89","5.84","5.96","5.78","6.21","6.55","6.04","","",
"Bermuda","BMU","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.52","1.45","1.54","1.5","1.51","1.48","1.56","1.67","1.51","1.21","1.54","1.2","1.08","1.52","1.95","1.59","1.83","1.79","1.96","1.69","1.41","1.47","","",
"Bolivia","BOL","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.38","3.54","4.1","4.09","3.98","4.21","4.07","3.98","3.82","3.85","4.01","4.09","4.22","3.99","4.16","3.98","4.03","4.03","3.94","3.87","3.55","","","",
"Brazil","BRA","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.88","3.9","3.89","3.91","3.9","3.88","3.86","3.85","3.86","3.74","3.85","3.75","3.82","3.88","3.98","4.05","4.03","4.05","3.93","3.94","4.01","4.01","","",
"Barbados","BRB","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.92","5.68","5.54","5.5","5.51","5.43","5.18","5.14","5.95","6.09","5.81","6.01","5.66","5.8","5.28","5.12","5.02","4.82","4.94","5.03","4.38","4.43","","",
"Brunei Darussalam","BRN","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.34","3.91","3.68","4.15","3.79","3.65","4.96","5.07","5.68","4.97","5.15","5.94","5.82","4.72","5.66","4.34","4.91","5.87","5.85","6.35","6.05","","","",
"Bhutan","BTN","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.42","17.29","15.99","14.96","14.15","13.61","12.99","11.3","11.12","10.69","10.11","9.47","9.51","9.41","9.32","8.7","8.3","8.06","8.37","8.2","8.29","8.89","","",
"Botswana","BWA","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3","4.34","4.16","3.96","3.97","3.92","3.73","3.53","3.49","3.5","3.49","3.14","3.38","3.2","3.35","3.53","3.16","3.17","3.26","2.92","2.88","","","",
"Central African Republic","CAF","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.73","7.55","7.38","7.93","7.65","7.74","7.59","7.47","7.33","6.89","6.76","6.68","6.25","9.3","9.55","9.4","9.12","8.8","8.56","8.38","8.4","8.46","","",
"Canada","CAN","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.31","9.04","8.77","8.89","8.77","8.41","8.2","7.67","7.41","7.34","7.11","7.06","6.99","6.97","6.95","6.86","7.09","7.17","7.08","6.97","6.78","6.63","","",
"Central Europe and the Baltics","CEB","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.15537476620015","6.12896887022906","5.93270492242937","5.88570381255401","5.55579721042596","5.37108149081259","5.16757575628349","4.85175476680059","4.64586701729247","4.4745729863234","4.60125256942331","4.45216403837525","4.28341847098713","4.14867913942997","3.93192873736533","3.82895139862325","3.79599990569775","3.76970405297081","3.66947738514735","3.44054592822926","3.45221728604173","3.62802632452593","","",
"Switzerland","CHE","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.44","2.56","2.49","2.5","2.44","2.36","2.37","2.16","2.19","2.25","2.11","2","2","2.05","1.87","1.8","1.72","1.7","1.66","1.68","1.64","1.54","","",
"Channel Islands","CHI","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
