Report generated on: 03-27-2024 11:32:28
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"","total energy consumption (quad Btu)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.44-2-AUS-QBTU.A","        Australia","2.9854358303859216","3.0498855988359854","3.2315361077031657","3.106748751726154","3.14940532638222","3.2894457763241927","3.339457591279807","3.5101456891435983","3.6003070871758593","3.8202805174474572","3.8450510464370216","3.816707739470563","3.8961316620931763","3.9907608389582685","4.059596888564405","4.181352368030664","4.365435377068455","4.481996789139721","4.643887355138282","4.7618808040354415","4.798319763298298","4.826307017148451","4.974069664342607","5.014345155031627","5.181104210734196","5.277487051157901","5.346824756371285","5.504304511125863","5.5057946324251406","5.616301011744238","5.6497442750072135","5.743145061210002","5.8083482092773355","5.817067529811845","5.752163477124606","5.778272493770405","6.018588429320936","6.1997356436494995","6.167648593117738","6.206136770449558","5.8329979058753505","5.922681342747214"
"INTL.44-2-AUT-QBTU.A","        Austria","1.0973826904211996","1.0860216107096554","1.033423966309842","1.0407132085811968","1.0687113530811918","1.0918414560708956","1.0716486557431106","1.0217497910625195","1.1069273060742357","1.1223819665496106","1.1583630812138974","1.2192683164516471","1.194054821944375","1.219344591157797","1.2147717230275559","1.2716598927313532","1.3280593615143956","1.3285581215173612","1.3529758154730402","1.3690062912081022","1.3576428223216257","1.42216547907762","1.4216350821094912","1.4449085385410447","1.4966678543474943","1.5527815500063187","1.5439728151606222","1.5165389241974818","1.5201246313292613","1.4551547991078917","1.4933077375983832","1.4199401659207322","1.4641423463100627","1.472655105154443","1.4240020150946942","1.426288308119143","1.4591113298583098","1.4903016680122148","1.457465028606928","1.5164704090358274","1.4095192552696545","1.4410188975726812"
"INTL.44-2-AZE-QBTU.A","        Azerbaijan","--","--","--","--","--","--","--","--","--","--","--","--","0.9911765642269212","0.8437916077196518","0.759329018122574","0.7280833129647998","0.6432472023598259","0.6383647456866977","0.5464973083635694","0.5636975517270306","0.5074185432978657","0.44564175199638306","0.5318574148058618","0.5674969864277457","0.6260213589589276","0.6481604431189654","0.6568357056439632","0.54096317063746","0.5793533650780132","0.5436920099120027","0.5866650633544922","0.5554545161327669","0.6032603864577951","0.5673343141510903","0.5850700002364506","0.6183165574145622","0.6089572622007006","0.6066404856364913","0.6084300217434576","0.6472385632689805","0.6285151340981886","0.6633506886084816"
"INTL.44-2-BHR-QBTU.A","        Bahrain","0.1370792453385082","0.15793077745506964","0.16840077745506965","0.17685260386580687","0.1716302453385082","0.20399877745506967","0.22098777157965","0.265819139","0.2289535122","0.234110243","0.25623016754490974","0.2867909405","0.24059811","0.2873321361","0.2830941625","0.2835949425","0.28428583605","0.33493822035","0.35159034795","0.36073067805","0.38174031057","0.39509279718","0.42155996357000003","0.4404441398299999","0.45624810566999996","0.5118364029999999","0.5461163996499999","0.5607088311900001","0.5871664554099999","0.58133011678","0.5876893890999998","0.58148011658","0.62466132627","0.6946851793000001","0.688650527","0.69473052325","0.693186174047","0.7131647157901","0.7221343458272","0.7922842902946","0.7869357551990557","0.8044073707539175"
"INTL.44-2-BGD-QBTU.A","        Bangladesh","0.12237373146647165","0.13263192992723544","0.14102331271612184","0.13611929175580118","0.16614674244959443","0.17078500038623387","0.18524403522381783","0.20077429805875183","0.22541380149368578","0.24573661082997558","0.23910800167673366","0.25453320406512175","0.28588367016120053","0.30931970927324903","0.3424339003276303","0.37457309878931117","0.3890114732557589","0.3992994488243886","0.42741787747218885","0.4805707205125264","0.5105086785667823","0.559048717867276","0.5881355275439591","0.6473382437847297","0.6700366740696395","0.7123456165606957","0.7681098769259342","0.8066665043052444","0.8721333714063054","0.9180523184548993","0.9682798286952765","1.0184767878301477","1.0986457723859029","1.127902425760748","1.2047688172335413","1.3331160464862588","1.4342787438526745","1.4789252974289884","1.4861200687624005","1.586626464082184","1.55057179136331","1.7118250062628197"
"INTL.44-2-BRB-QBTU.A","        Barbados","0.014607404357384574","0.0152022125","0.01541340410901124","0.016258170535754176","0.01566625542853143","0.017314128571187515","0.018158895","0.01728987599","0.0162806723226","0.0177197985","0.01877223777","0.0189815451455","0.0200511842256","0.0195408423465","0.0185323071105","0.0192335753455","0.017269022865","0.020790449615","0.0211169857275","0.022107611535","0.023766991734084704","0.02378115992787991","0.023941208571748248","0.024196509571241604","0.024376840825760877","0.024565423806506566","0.024621200856259354","0.023490809818600012","0.027698550774100012","0.026104624950900004","0.02515866981709999","0.026404358751900003","0.02481658212160002","0.025202074248100004","0.021917332165109996","0.0233143436","0.02378657035","0.0225503581784928","0.02395074978531429","0.024065923052293","0.02066728098858838","0.02209362560939506"
"INTL.44-2-BLR-QBTU.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","1.501970401720885","1.2806214078836877","1.0585002671109454","0.9988471065596957","0.9991679818028789","0.9907879086251181","0.9706355086359005","1.0032785387112504","1.0908746833221168","1.0095217501684315","0.980390452515217","1.026496137487206","0.9608360276953292","1.080768569623576","1.1526332445842542","1.1185456005765237","1.132952280033448","1.0542743576014002","1.122195803389254","1.1608731475561778","1.1708529916111228","1.1183892265077056","1.1202953408440772","0.9530543405129016","0.9446445148589767","0.9407141226595589","0.9918661506436663","0.9618102482547584","0.9234250444755948","1.0164643771909245"
"INTL.44-2-BEL-QBTU.A","        Belgium","2.1220771988502376","1.995879730374533","1.8665767173456584","1.8345521740626487","1.8752097748045846","1.9486950884181231","2.0275718898921036","2.0917549851950006","2.1474325724264327","2.1599877435470187","2.214528615016101","2.2928805259158307","2.2958223116373033","2.262325191555522","2.407032773058903","2.4430737313589126","2.5842686661925223","2.5967589111997196","2.6599511246363776","2.642281642106712","2.7029245147401046","2.697638302856763","2.6830381779872323","2.7692957041482287","2.8063718891283416","2.7795220113474763","2.7719939404196103","2.784362000472983","2.8704374925573473","2.619021057433239","2.819519649630932","2.6339261268578937","2.5599188291898547","2.6369161020014205","2.4628873769439217","2.4950163763321083","2.64634494481668","2.6605335040691247","2.6825069128652563","2.696035570792916","2.447575883875127","2.7144212140846222"
"INTL.44-2-BLZ-QBTU.A","        Belize","0.003592158580565536","0.003388081769535155","0.00319012440568182","0.00319276494848182","0.003395698546008402","0.003387841664735155","0.004124253159","0.00337543905","0.0025837545682","0.00371716423645","0.0048903824147","0.0055403460642","0.00464405034838","0.0046320385242","0.0044197060242","0.0054659580242","0.00488211028598","0.00754102785115","0.00741612751995","0.00771318904","0.0082350961389","0.009064906307349994","0.008772186272480003","0.008606016657659995","0.00829145825869001","0.008878278691109767","0.010213777015319772","0.009637113888049992","0.009320195763713754","0.009713310699187757","0.011532268006602179","0.010059824104228557","0.01045129521558126","0.011389000555408209","0.011326895238163619","0.01252257650527136","0.012537249632","0.0139321604777841","0.012445157073292771","0.01312238626","0.009738056167845196","0.010152157086925642"
"INTL.44-2-BEN-QBTU.A","        Benin","0.006526525490589228","0.00657461217504117","0.004640112118680565","0.00673156417504117","0.006673241490589228","0.00769881420458931","0.0075010549425","0.0059423653011","0.007368094868","0.00759261096","0.0087241065","0.0101965498","0.0113292124","0.012457708","0.013034078","0.0140675475","0.0153565462","0.016612231861","0.0179082209","0.0087915402","0.023423691849999997","0.026659533109999984","0.030545252469999992","0.035464364590000005","0.03739318667000002","0.03510334009","0.04793842817000004","0.05660644141466459","0.05788986608404839","0.06429265513376145","0.0737350800706044","0.06873817179176708","0.06523857365581463","0.06647110863684044","0.07027515073952725","0.07772334121322264","0.09478500758271115","0.10051638998246924","0.11150633124472101","0.10132593582929551","0.10865361738908708","0.11019488724807709"
